GroupID,GroupName,CreatedBy,DateAdded
1,Creative Writing Circle,1,6/21/2024
2,Science Enthusiasts,2,8/17/2024
3,Art and Design Society,3,6/19/2024
4,Theater and Drama Club,5,9/3/2023
5,Coding and Development,4,11/21/2023
6,Coding and Development,1,7/29/2024
7,Photography Club,1,1/4/2024
8,Environmental Advocacy Group,3,3/27/2024
9,Robotics Club,3,1/29/2024
10,Coding and Development,5,2/15/2024
11,Robotics Club,1,9/10/2023
12,History Buffs,2,7/22/2024
13,Volunteer Outreach Team,4,8/5/2024
14,Art and Design Society,3,7/7/2024
15,Cultural Exchange Group,1,9/25/2023
16,Coding and Development,2,11/21/2023
17,Creative Writing Circle,1,12/14/2023
18,Coding and Development,1,12/3/2023
19,Book Club,1,2/29/2024
20,Gaming Community,4,12/25/2023
21,Entrepreneurship Network,5,12/10/2023
22,Art and Design Society,4,4/5/2024
23,Cultural Exchange Group,5,4/26/2024
24,Robotics Club,5,5/22/2024
25,Music Lovers,3,3/27/2024
26,History Buffs,1,3/13/2024
27,Book Club,3,11/28/2023
28,Creative Writing Circle,3,4/2/2024
29,Entrepreneurship Network,2,1/31/2024
30,Creative Writing Circle,4,12/15/2023
31,Fitness and Wellness Club,4,12/14/2023
32,Science Enthusiasts,1,1/12/2024
33,Cultural Exchange Group,4,12/19/2023
34,Fitness and Wellness Club,4,2/22/2024
35,Math Study Group,2,6/18/2024
36,Math Study Group,4,2/21/2024
37,Debate Team,3,12/30/2023
38,History Buffs,3,11/1/2023
39,Language Learners,4,11/22/2023
40,Book Club,1,11/25/2023
41,Math Study Group,3,1/27/2024
42,Math Study Group,4,3/19/2024
43,Photography Club,1,5/18/2024
44,Debate Team,3,7/6/2024
45,Campus News and Media,4,7/14/2024
46,Music Lovers,4,5/1/2024
47,Cultural Exchange Group,3,8/16/2024
48,Photography Club,3,11/30/2023
49,Robotics Club,2,8/8/2024
50,Fitness and Wellness Club,1,10/19/2023
51,Campus News and Media,1,10/13/2023
52,Debate Team,2,7/8/2024
53,Creative Writing Circle,5,1/1/2024
54,Book Club,5,10/19/2023
55,Math Study Group,5,11/1/2023
56,Art and Design Society,5,12/5/2023
57,Robotics Club,3,5/17/2024
58,Science Enthusiasts,2,10/14/2023
59,Campus News and Media,1,7/26/2024
60,Photography Club,5,7/11/2024
61,Book Club,3,10/14/2023
62,Book Club,4,12/17/2023
63,Language Learners,5,10/14/2023
64,Creative Writing Circle,4,12/2/2023
65,Cultural Exchange Group,5,11/18/2023
66,Language Learners,3,9/10/2023
67,Creative Writing Circle,2,10/25/2023
68,History Buffs,3,5/4/2024
69,History Buffs,1,3/28/2024
70,Environmental Advocacy Group,2,3/2/2024
71,Book Club,1,10/24/2023
72,Language Learners,2,12/29/2023
73,Robotics Club,3,1/3/2024
74,Science Enthusiasts,2,1/8/2024
75,Volunteer Outreach Team,3,3/22/2024
76,Volunteer Outreach Team,1,2/8/2024
