GroupMemberShipRequestsID,GroupID,GroupMemberUserID,IsGroupMemberShipAccepted,DateAccepted
1,1,3,true,2/1/2024
2,3,5,true,7/16/2024
3,3,4,true,1/4/2024
4,1,5,true,8/13/2024
5,2,4,true,10/10/2023
6,1,3,false,1/21/2024
7,3,3,true,7/5/2024
8,2,1,true,7/26/2024
9,1,2,false,8/6/2024
10,1,2,true,8/18/2024
11,2,1,false,2/20/2024
12,3,2,false,8/19/2024
13,2,4,false,12/18/2023
14,1,4,false,11/22/2023
15,1,2,false,3/5/2024
16,2,1,false,9/12/2023
17,2,2,false,8/27/2024
18,3,1,false,10/23/2023
19,3,2,false,4/2/2024
20,2,2,false,9/1/2023
21,1,5,true,5/24/2024
22,2,5,true,7/29/2024
23,1,4,false,10/3/2023
24,2,1,false,1/29/2024
25,2,2,false,7/31/2024
26,2,5,true,11/6/2023
27,3,5,true,12/22/2023
28,3,1,false,6/6/2024
29,1,1,true,12/28/2023
30,2,2,false,6/1/2024
31,1,4,false,5/6/2024
32,3,1,false,1/14/2024
33,2,5,true,9/30/2023
34,3,4,true,8/17/2024
35,1,4,true,10/27/2023
36,3,1,false,5/30/2024
37,2,4,false,2/5/2024
38,1,1,true,6/28/2024
39,3,5,true,10/23/2023
40,3,1,false,11/29/2023
41,3,4,false,5/24/2024
42,2,3,false,3/22/2024
43,2,1,true,6/2/2024
44,1,5,true,11/1/2023
45,2,2,true,2/4/2024
46,1,2,true,3/31/2024
47,3,1,false,1/22/2024
48,2,1,false,6/5/2024
49,2,1,true,7/23/2024
50,1,3,false,10/2/2023
51,1,1,false,2/7/2024
52,1,3,true,11/3/2023
53,3,4,true,10/11/2023
54,1,1,true,8/28/2024
55,2,1,false,2/23/2024
56,3,3,false,12/21/2023
57,2,5,true,5/24/2024
58,1,5,false,6/28/2024
59,1,2,true,12/2/2023
60,1,4,true,3/15/2024
61,2,2,false,5/18/2024
62,2,2,false,8/11/2024
63,3,3,false,2/21/2024
64,3,2,false,9/16/2023
65,3,3,false,3/28/2024
66,1,4,false,9/29/2023
67,3,4,false,11/24/2023
68,1,2,false,2/14/2024
69,1,1,false,4/6/2024
70,3,2,true,6/16/2024
71,2,5,false,9/17/2023
72,1,3,false,5/25/2024
73,1,1,false,8/22/2024
74,2,2,false,7/18/2024
75,1,1,false,8/24/2024
76,1,2,false,9/21/2023
77,2,2,true,6/2/2024
78,3,4,true,12/16/2023
79,1,3,false,9/14/2023
80,3,2,true,7/9/2024
81,3,5,true,11/13/2023
82,2,2,false,5/9/2024
83,3,3,true,12/26/2023
84,3,5,true,4/14/2024
85,3,1,false,5/15/2024
86,1,2,false,4/26/2024
87,2,4,true,12/15/2023
88,1,3,false,2/9/2024
89,2,5,true,3/30/2024
90,1,4,false,10/22/2023
91,1,4,true,4/4/2024
92,1,2,true,7/26/2024
93,2,2,true,5/1/2024
94,2,5,true,9/19/2023
95,3,4,true,8/1/2024
96,3,1,false,8/26/2024
97,2,4,false,1/14/2024
98,2,2,true,10/17/2023
99,2,3,false,12/26/2023
100,3,2,false,5/24/2024
101,3,4,false,3/6/2024
102,1,5,true,7/27/2024
103,1,2,false,9/3/2023
104,1,5,false,1/29/2024
105,2,1,false,6/14/2024
106,2,1,true,2/4/2024
107,2,5,false,3/25/2024
108,1,5,false,1/3/2024
109,1,5,false,5/31/2024
110,1,1,true,8/25/2024
111,1,3,true,3/11/2024
112,2,3,false,5/11/2024
113,2,2,false,10/18/2023
114,1,1,false,12/17/2023
115,3,5,true,4/16/2024
116,3,5,true,1/13/2024
117,3,5,false,12/16/2023
118,1,5,false,1/14/2024
119,1,5,true,5/11/2024
120,2,4,true,8/15/2024
121,3,3,false,4/12/2024
122,1,2,true,9/30/2023
123,3,3,false,1/20/2024
124,3,3,false,1/26/2024
125,3,1,true,1/14/2024
126,3,3,true,10/10/2023
127,3,1,false,6/25/2024
128,2,1,true,8/26/2024
129,2,2,false,10/22/2023
130,2,5,false,6/4/2024
131,1,4,true,8/9/2024
132,2,2,true,2/21/2024
133,3,1,true,1/11/2024
134,2,1,false,7/30/2024
135,3,2,true,1/25/2024
136,2,2,true,6/23/2024
137,2,4,false,7/9/2024
138,1,5,true,8/23/2024
139,2,4,false,6/10/2024
140,1,1,false,6/23/2024
141,2,2,false,9/17/2023
142,1,5,true,9/20/2023
143,3,5,false,2/21/2024
144,3,5,false,4/15/2024
145,3,5,true,11/15/2023
146,2,3,false,8/10/2024
147,2,5,false,5/16/2024
148,2,2,true,4/20/2024
149,2,2,false,3/18/2024
150,1,4,true,12/18/2023
151,1,5,true,11/9/2023
152,3,2,true,1/13/2024
153,2,4,false,6/24/2024
154,2,5,true,3/5/2024
155,1,4,false,2/25/2024
156,1,5,false,3/22/2024
157,3,1,false,10/17/2023
158,2,1,false,11/8/2023
159,3,4,false,9/3/2023
160,2,5,true,12/10/2023
161,2,2,false,7/4/2024
162,3,4,false,1/31/2024
163,3,2,true,6/1/2024
164,1,2,true,3/19/2024
165,1,3,false,7/19/2024
166,3,2,true,2/4/2024
167,1,5,true,11/16/2023
168,3,2,false,12/18/2023
169,3,5,false,10/7/2023
170,1,3,true,3/31/2024
171,2,4,false,4/7/2024
172,1,2,false,9/17/2023
173,2,1,true,3/2/2024
174,3,2,true,11/12/2023
175,1,4,true,8/4/2024
176,1,3,false,11/17/2023
177,1,5,true,4/3/2024
178,1,3,false,12/10/2023
179,1,1,true,1/31/2024
180,2,3,false,4/9/2024
181,3,4,false,11/19/2023
182,1,1,false,3/20/2024
183,2,1,true,12/16/2023
184,2,4,false,3/22/2024
185,2,4,false,9/22/2023
186,3,4,true,7/23/2024
187,2,5,false,9/25/2023
188,3,3,false,5/14/2024
189,1,4,true,8/4/2024
190,1,4,true,8/23/2024
191,1,3,false,8/6/2024
192,1,1,false,12/24/2023
193,3,3,true,9/30/2023
194,3,5,false,3/29/2024
195,1,4,true,8/1/2024
196,3,2,false,12/31/2023
197,3,5,true,5/4/2024
198,1,2,true,9/13/2023
199,2,5,true,12/4/2023
200,2,3,false,12/19/2023
201,2,3,false,11/9/2023
202,1,5,false,9/9/2023
203,3,5,true,7/23/2024
204,3,2,true,7/25/2024
205,3,2,false,6/25/2024
206,2,4,true,11/26/2023
207,3,2,false,5/21/2024
208,1,4,false,7/11/2024
209,1,5,false,1/17/2024
210,2,1,true,6/2/2024
211,3,5,false,1/10/2024
212,3,1,false,10/10/2023
213,2,3,false,7/22/2024
214,3,2,true,4/7/2024
215,1,4,false,5/7/2024
216,3,1,false,3/8/2024
217,2,1,true,1/17/2024
218,2,4,true,6/6/2024
219,3,2,true,5/26/2024
220,1,5,false,1/20/2024
221,2,2,true,5/1/2024
222,3,4,true,5/18/2024
223,2,4,false,9/3/2023
224,3,2,true,5/3/2024
225,3,5,true,1/29/2024
226,3,5,false,1/26/2024
227,3,2,false,3/21/2024
228,2,5,false,8/7/2024
229,1,5,false,4/6/2024
230,2,4,false,7/30/2024
231,2,5,false,11/20/2023
232,3,4,false,1/5/2024
233,1,5,true,6/9/2024
234,3,2,true,7/10/2024
235,2,3,true,11/12/2023
236,1,3,true,9/18/2023
237,2,5,false,9/11/2023
238,2,1,false,1/31/2024
239,1,2,false,7/11/2024
240,1,2,true,5/19/2024
241,1,2,false,4/4/2024
242,2,4,true,11/22/2023
243,3,4,false,6/2/2024
244,3,2,false,5/30/2024
245,3,2,false,7/29/2024
246,3,5,false,7/1/2024
247,3,4,false,1/31/2024
248,3,5,true,8/7/2024
249,1,5,false,4/29/2024
250,1,3,true,12/2/2023
251,1,5,true,11/1/2023
252,1,3,false,4/4/2024
253,3,5,true,12/12/2023
254,3,3,false,6/12/2024
255,3,2,true,4/25/2024
256,2,2,true,4/26/2024
257,1,4,false,6/21/2024
258,2,1,false,1/15/2024
259,1,1,false,10/1/2023
260,3,1,true,1/10/2024
261,1,5,true,11/21/2023
262,3,2,false,12/27/2023
263,3,5,true,1/21/2024
264,3,3,false,6/1/2024
265,1,1,true,7/2/2024
266,3,1,false,11/27/2023
267,3,5,true,3/25/2024
268,2,2,true,5/18/2024
269,1,1,false,9/28/2023
270,3,4,false,9/29/2023
271,3,2,false,11/5/2023
272,2,2,false,1/29/2024
273,3,3,false,7/19/2024
274,3,1,true,12/25/2023
275,1,1,false,1/28/2024
276,2,2,false,1/22/2024
277,1,2,true,10/6/2023
278,1,1,false,4/9/2024
279,3,3,false,11/26/2023
280,3,2,true,7/25/2024
281,3,3,false,1/7/2024
282,2,2,false,8/17/2024
283,1,2,false,6/30/2024
284,2,2,true,6/2/2024
285,3,5,false,12/24/2023
286,2,5,true,5/10/2024
287,2,3,true,4/26/2024
288,2,2,true,8/8/2024
289,1,5,true,4/7/2024
290,1,2,false,2/6/2024
291,2,1,false,11/14/2023
292,1,5,true,5/30/2024
293,3,1,true,8/28/2024
294,2,2,true,9/17/2023
295,2,2,false,4/12/2024
296,2,1,true,1/11/2024
297,3,2,true,9/15/2023
298,3,5,false,6/7/2024
299,1,5,false,1/2/2024
300,3,4,true,6/28/2024
301,2,3,true,3/15/2024
302,3,3,true,2/26/2024
303,1,2,true,2/5/2024
304,1,4,true,7/22/2024
305,1,2,true,1/15/2024
306,1,5,true,8/31/2023
307,1,4,true,5/1/2024
308,2,1,true,1/9/2024
309,1,5,true,1/15/2024
310,3,4,true,7/5/2024
311,1,4,false,6/2/2024
312,1,1,true,11/8/2023
313,2,3,false,10/2/2023
314,2,3,true,10/30/2023
315,2,1,false,3/19/2024
316,2,3,true,3/12/2024
317,2,3,true,5/24/2024
318,1,2,false,3/26/2024
319,1,2,true,10/8/2023
320,3,5,false,10/15/2023
321,2,5,true,9/14/2023
322,1,5,true,12/15/2023
323,1,3,false,12/2/2023
